date,region,category,units,unit_price,revenue
2025-01-01,EMEA,Data Engineering,18,111.78,2011.97
2025-01-01,AMER,Analytics,2,90.25,180.5
2025-01-01,APAC,Data Engineering,1,160.21,160.21
2025-01-01,APAC,Data Engineering,3,134.7,404.09
2025-01-01,EMEA,AI,6,123.16,738.97
2025-01-01,AMER,AI,10,140.86,1408.59
2025-01-01,EMEA,AI,19,106.27,2019.16
2025-01-01,AMER,AI,7,64.75,453.24
2025-01-01,AMER,Data Engineering,4,81.98,327.91
2025-01-01,APAC,Analytics,9,114.39,1029.53
2025-01-01,APAC,Data Engineering,9,103.84,934.55
2025-01-01,AMER,AI,9,74.1,666.86
2025-01-01,EMEA,AI,5,124.4,622.02
2025-01-02,APAC,Data Engineering,14,151.83,2125.58
2025-01-02,AMER,AI,10,146.53,1465.32
2025-01-02,APAC,AI,3,116.65,349.95
2025-01-02,AMER,Data Engineering,4,83.25,332.99
2025-01-02,EMEA,Data Engineering,13,160.76,2089.94
2025-01-02,EMEA,Analytics,5,123.58,617.9
2025-01-02,EMEA,AI,17,180.01,3060.21
2025-01-02,EMEA,AI,3,122.24,366.71
2025-01-03,EMEA,Analytics,5,140.49,702.44
2025-01-03,APAC,AI,8,140.02,1120.14
2025-01-03,EMEA,AI,9,126.09,1134.85
2025-01-03,EMEA,AI,13,123.82,1609.63
2025-01-03,EMEA,AI,7,114.11,798.8
2025-01-03,APAC,Data Engineering,2,154.36,308.71
2025-01-03,AMER,Analytics,1,139.41,139.41
2025-01-03,AMER,AI,17,106.1,1803.78
2025-01-04,APAC,Data Engineering,17,140.68,2391.6
2025-01-04,EMEA,Data Engineering,19,112.49,2137.39
2025-01-04,EMEA,AI,4,107.16,428.64
2025-01-04,APAC,AI,1,116.38,116.38
2025-01-04,APAC,Data Engineering,13,86.58,1125.51
2025-01-04,APAC,AI,19,154.98,2944.69
2025-01-04,EMEA,Data Engineering,1,119.28,119.28
2025-01-04,EMEA,AI,15,151.56,2273.46
2025-01-04,EMEA,AI,15,137.5,2062.52
2025-01-04,AMER,AI,16,69.35,1109.66
2025-01-04,APAC,AI,19,110.87,2106.45
2025-01-05,EMEA,Analytics,10,187.34,1873.43
2025-01-05,AMER,AI,2,126.16,252.32
2025-01-05,EMEA,Data Engineering,7,114.71,802.95
2025-01-05,EMEA,Data Engineering,15,135.6,2033.96
2025-01-05,AMER,AI,18,117.62,2117.24
2025-01-05,EMEA,Data Engineering,15,127.8,1916.93
2025-01-05,AMER,Data Engineering,8,149.16,1193.3
2025-01-05,AMER,Analytics,17,102.27,1738.58
2025-01-05,EMEA,Data Engineering,10,60.07,600.68
2025-01-05,APAC,Analytics,4,56.14,224.57
2025-01-05,APAC,Analytics,4,67.62,270.47
2025-01-05,APAC,Data Engineering,17,143.37,2437.29
2025-01-06,APAC,Analytics,2,157.47,314.95
2025-01-06,AMER,Analytics,19,118.03,2242.49
2025-01-06,AMER,AI,18,90.75,1633.42
2025-01-06,AMER,AI,12,103.71,1244.56
2025-01-06,AMER,Data Engineering,8,101.22,809.74
2025-01-06,EMEA,Analytics,2,157.71,315.42
2025-01-06,APAC,AI,11,120.4,1324.4
2025-01-06,AMER,Data Engineering,16,110.2,1763.19
2025-01-06,APAC,Data Engineering,3,163.72,491.15
2025-01-06,EMEA,Analytics,7,111.0,777.02
2025-01-06,AMER,Analytics,4,169.62,678.49
2025-01-07,APAC,Data Engineering,16,130.12,2081.92
2025-01-07,AMER,Data Engineering,10,76.38,763.79
2025-01-07,EMEA,AI,8,67.17,537.36
2025-01-07,APAC,Data Engineering,9,119.3,1073.67
2025-01-07,EMEA,AI,2,133.64,267.29
2025-01-07,APAC,Data Engineering,8,115.71,925.7
2025-01-07,AMER,Data Engineering,18,160.07,2881.19
2025-01-07,AMER,Data Engineering,18,128.75,2317.51
2025-01-08,AMER,Data Engineering,10,104.76,1047.61
2025-01-08,APAC,Analytics,4,115.46,461.83
2025-01-08,APAC,Analytics,5,155.3,776.48
2025-01-08,AMER,Analytics,19,103.09,1958.76
2025-01-08,EMEA,Analytics,12,148.49,1781.83
2025-01-08,APAC,Data Engineering,2,136.26,272.51
2025-01-08,APAC,AI,18,144.94,2608.84
2025-01-08,EMEA,Data Engineering,9,165.45,1489.04
2025-01-08,EMEA,Analytics,4,145.85,583.41
2025-01-08,EMEA,Analytics,5,176.37,881.85
2025-01-08,AMER,Data Engineering,17,85.64,1455.96
2025-01-08,EMEA,AI,16,89.55,1432.79
2025-01-09,APAC,AI,3,70.69,212.06
2025-01-09,AMER,AI,17,127.78,2172.24
2025-01-09,APAC,Analytics,16,121.16,1938.5
2025-01-09,AMER,AI,4,74.6,298.38
2025-01-09,EMEA,AI,6,70.7,424.17
2025-01-09,EMEA,AI,13,118.16,1536.05
2025-01-09,AMER,Data Engineering,14,100.26,1403.62
2025-01-09,AMER,Analytics,14,93.4,1307.61
2025-01-09,EMEA,Data Engineering,3,130.68,392.05
2025-01-10,EMEA,AI,13,78.22,1016.81
2025-01-10,APAC,AI,18,117.32,2111.68
2025-01-10,APAC,Analytics,17,106.19,1805.3
